pes,sobbs,pacs,spa
1.2,1,2.2,2.3
2,2.5,3.6,2.9
1.8,2.928571429,3.4,2.3
1.8,1.571428571,3.4,2.1
2.6,2.214285714,3.6,2.2
1.2,2,3.6,2.5
1.2,3.071428571,2.4,1.8
1,1.571428571,1.6,2.4
1.2,2.785714286,3,2.2
2,1.928571429,2.4,2.3
3,3.071428571,2.4,2.6
3,1.428571429,2,2.4
1.6,2.714285714,3.4,2.6
2.6,2.928571429,3,2.1
3,3,3.4,2.8
2.2,3,3.2,2.6
4,4.071428571,5,2.2
2.2,3.285714286,4,2.8
2.8,1.142857143,2,2.2
1.8,1.785714286,2.6,2.3
3,3.428571429,3.6,2.5
1,3.571428571,4.2,3.4
1,1.357142857,1.8,2
2.4,3.285714286,3.4,2.6
1.8,1.428571429,3,2
1.2,1.071428571,2,2
1.8,1.928571429,2.6,2.5
2.2,1.642857143,1.4,2.3
1.4,2.285714286,2.8,2.1
2,2.714285714,4.2,3.2
1.8,1.285714286,2.4,2.4
1.6,2.214285714,3.4,2.5
2.8,2.285714286,3.8,2.2
1.8,1.571428571,2.8,2.4
2.2,2.857142857,3.6,2.8
1,3.142857143,3.6,2.8
3,3,3,2
1.6,2.857142857,4.6,3.1
2.4,1.928571429,2.4,2.3
1.8,1.785714286,2.4,2.3
4.2,3.142857143,3.4,2.2
1.8,1.642857143,2.2,2.4
2.2,2,1.8,2.1
1.6,3.785714286,3.8,2.8
1.6,1.642857143,2.4,2.5
1.6,3.428571429,2.8,2.9
1,2.857142857,3.2,2.7
1.8,2.785714286,2.8,1.8
1.8,1.428571429,2.2,2.3
3.6,2.214285714,3.6,2.3
1,1.571428571,2,1.8
2.6,2.428571429,3.2,2.7
1.8,1.928571429,3.4,2.7
1.8,1.214285714,2,2.3
2.4,1.857142857,2.4,2.5
1.8,2.928571429,3,2.5
1.8,1.857142857,2.4,2.2
1.6,1.285714286,2.2,2.1
2.8,3.428571429,4.2,2.2
1.8,2.285714286,3.6,2.5
1,2.071428571,2.2,2.5
1.6,2.214285714,2.8,2.4
1.8,3.642857143,3.6,2.9
1.8,1.571428571,2,2
2.4,2.357142857,2.4,2.1
1.6,1.5,2.4,2.3
1.6,3.357142857,4.4,2.7
2,1.571428571,2,1.3
2.2,1.214285714,2.4,2.4
3.2,3,3,2.9
1.8,3.142857143,4,2.3
1,2.571428571,2.2,2.7
2.6,3.857142857,4.4,3.4
2.4,2,2.8,2.4
1.8,1.714285714,2.6,2
2,2.214285714,2.8,2.9
2.2,2.285714286,3,2.7
4.2,4.571428571,4.6,3.6
1.4,1.785714286,2.2,2.5
5,4,1,4
4.2,2.785714286,3.8,2.8
1.8,1.928571429,3.2,2.5
2.4,2.357142857,2.6,2.5
3,2.857142857,4,2.8
1.6,3.214285714,2.6,2.9
2.4,2.285714286,3.2,2.2
1.8,2.357142857,3,2.3
1.8,1.928571429,1.8,2
1.2,2.285714286,2.6,2
1.8,3.642857143,4.6,2.7
1,1.642857143,2,2.1
2.2,2.571428571,3.4,2.6
1,1.714285714,2.6,2
1.4,1.857142857,2.4,2.2
1.8,1.5,1.8,2.6
1,1,1,1
1.6,2.571428571,3.6,2
1.6,1.428571429,1.4,1.6
1,1.714285714,2.4,1.8
5,4.642857143,4.2,2.8
3.6,2.571428571,2.8,2.9
2.6,3,3,2.3
1,1,1.6,1
1.6,2.142857143,2.4,2.6
1.4,2.857142857,3,2.7
1.8,3.428571429,3.8,2.6
1.8,2.785714286,4.4,2.6
1,1,1,1
1.8,1.214285714,2,2.3
3.2,4.857142857,4.2,3
1.4,2.357142857,2.6,2.5
